scinam,longevity,origin,data_sources
lanius collurio,7.8,wild,http://www.genomics.senescence.info (AnAge build 12)
lanius excubitor,12,unknown,http://www.genomics.senescence.info (AnAge build 12)
lanius ludovicianus,12.5,wild,http://www.genomics.senescence.info (AnAge build 12)
lanius senator,5.7,wild,http://www.genomics.senescence.info (AnAge build 12)
larus argentatus,49,unknown,http://www.genomics.senescence.info (AnAge build 12)
larus atricilla,19.8,wild,http://www.genomics.senescence.info (AnAge build 12)
larus audouinii,20.9,wild,http://www.genomics.senescence.info (AnAge build 12)
larus cachinnans,31.9,wild,http://www.genomics.senescence.info (AnAge build 12)
larus californicus,30,wild,http://www.genomics.senescence.info (AnAge build 12)
larus canus,33.7,wild,http://www.genomics.senescence.info (AnAge build 12)
larus delawarensis,31.8,wild,http://www.genomics.senescence.info (AnAge build 12)
larus fuscus,34.9,wild,http://www.genomics.senescence.info (AnAge build 12)
larus genei,31.7,wild,http://www.genomics.senescence.info (AnAge build 12)
larus glaucescens,32,wild,http://www.genomics.senescence.info (AnAge build 12)
larus glaucoides,33,wild,http://www.genomics.senescence.info (AnAge build 12)
larus hyperboreus,21,unknown,http://www.genomics.senescence.info (AnAge build 12)
larus marinus,27.1,wild,http://www.genomics.senescence.info (AnAge build 12)
larus melanocephalus,15,wild,http://www.genomics.senescence.info (AnAge build 12)
larus minutus,20.9,wild,http://www.genomics.senescence.info (AnAge build 12)
larus occidentalis,27.8,wild,http://www.genomics.senescence.info (AnAge build 12)
larus pacificus,14.5,captivity,http://www.genomics.senescence.info (AnAge build 12)
larus ridibundus,63,wild,http://www.genomics.senescence.info (AnAge build 12)
leiothrix lutea,15,captivity,http://www.genomics.senescence.info (AnAge build 12)
leptoptilos crumeniferus,44.7,captivity,http://www.genomics.senescence.info (AnAge build 12)
leptoptilos dubius,43,captivity,http://www.genomics.senescence.info (AnAge build 12)
leptoptilos javanicus,31.1,captivity,http://www.genomics.senescence.info (AnAge build 12)
leptotila verreauxi,8.6,wild,http://www.genomics.senescence.info (AnAge build 12)
leucopsar rothschildi,25,captivity,http://www.genomics.senescence.info (AnAge build 12)
leucosarcia melanoleuca,16.3,captivity,http://www.genomics.senescence.info (AnAge build 12)
leucosticte atrata,5.7,wild,http://www.genomics.senescence.info (AnAge build 12)
leucosticte tephrocotis,6.6,wild,http://www.genomics.senescence.info (AnAge build 12)
limicola falcinellus,6.8,wild,http://www.genomics.senescence.info (AnAge build 12)
limnodromus griseus,13.3,wild,http://www.genomics.senescence.info (AnAge build 12)
limnodromus scolopaceus,13.2,wild,http://www.genomics.senescence.info (AnAge build 12)
limnothlypis swainsonii,7.8,wild,http://www.genomics.senescence.info (AnAge build 12)
limosa fedoa,13.7,wild,http://www.genomics.senescence.info (AnAge build 12)
limosa lapponica,31.3,wild,http://www.genomics.senescence.info (AnAge build 12)
limosa limosa,23.5,wild,http://www.genomics.senescence.info (AnAge build 12)
locustella luscinioides,7.5,wild,http://www.genomics.senescence.info (AnAge build 12)
locustella naevia,4.8,wild,http://www.genomics.senescence.info (AnAge build 12)
lonchura striata,10,unknown,http://www.genomics.senescence.info (AnAge build 12)
lophoictinia isura,17,wild,http://www.genomics.senescence.info (AnAge build 12)
lophophanes cristatus,11.6,wild,http://www.genomics.senescence.info (AnAge build 12)
loriculus galgulus,14.3,captivity,http://www.genomics.senescence.info (AnAge build 12)
loriculus philippensis,10.1,captivity,http://www.genomics.senescence.info (AnAge build 12)
loriculus vernalis,10.1,captivity,http://www.genomics.senescence.info (AnAge build 12)
lorius domicella,26,captivity,http://www.genomics.senescence.info (AnAge build 12)
lorius garrulus,26.6,captivity,http://www.genomics.senescence.info (AnAge build 12)
lorius lory,18.5,captivity,http://www.genomics.senescence.info (AnAge build 12)
loxia curvirostra,8,captivity,http://www.genomics.senescence.info (AnAge build 12)
loxia leucoptera,4,captivity,http://www.genomics.senescence.info (AnAge build 12)
loxioides bailleui,13,wild,http://www.genomics.senescence.info (AnAge build 12)
loxops coccineus,10,wild,http://www.genomics.senescence.info (AnAge build 12)
lullula arborea,4.9,wild,http://www.genomics.senescence.info (AnAge build 12)
luscinia luscinia,8.9,wild,http://www.genomics.senescence.info (AnAge build 12)
luscinia megarhynchos,10.9,wild,http://www.genomics.senescence.info (AnAge build 12)
luscinia svecica,11.4,wild,http://www.genomics.senescence.info (AnAge build 12)
lymnocryptes minimus,12.3,wild,http://www.genomics.senescence.info (AnAge build 12)
macronectes giganteus,13.5,wild,http://www.genomics.senescence.info (AnAge build 12)
melanerpes carolinus,20.7,unknown,http://www.genomics.senescence.info (AnAge build 12)
melanerpes erythrocephalus,10,unknown,http://www.genomics.senescence.info (AnAge build 12)
melanerpes formicivorus,16,wild,http://www.genomics.senescence.info (AnAge build 12)
melanerpes uropygialis,11,wild,http://www.genomics.senescence.info (AnAge build 12)
melanitta fusca,21.4,wild,http://www.genomics.senescence.info (AnAge build 12)
melanitta nigra,16.8,wild,http://www.genomics.senescence.info (AnAge build 12)
meleagris gallopavo,13,wild,http://www.genomics.senescence.info (AnAge build 12)
melopsittacus undulatus,21,captivity,http://www.genomics.senescence.info (AnAge build 12)
melospiza georgiana,6.3,wild,http://www.genomics.senescence.info (AnAge build 12)
melospiza lincolnii,7.6,wild,http://www.genomics.senescence.info (AnAge build 12)
melospiza melodia,11.3,wild,http://www.genomics.senescence.info (AnAge build 12)
mergus albellus,10,wild,http://www.genomics.senescence.info (AnAge build 12)
mergus cucullatus,11.5,wild,http://www.genomics.senescence.info (AnAge build 12)
mergus merganser,14.8,wild,http://www.genomics.senescence.info (AnAge build 12)
mergus serrator,21.2,wild,http://www.genomics.senescence.info (AnAge build 12)
merops apiaster,5.9,wild,http://www.genomics.senescence.info (AnAge build 12)
merops bullockoides,7,captivity,http://www.genomics.senescence.info (AnAge build 12)
micrathene whitneyi,14,captivity,http://www.genomics.senescence.info (AnAge build 12)
micropalama himantopus,11.1,wild,http://www.genomics.senescence.info (AnAge build 12)
milvus migrans,24,unknown,http://www.genomics.senescence.info (AnAge build 12)
milvus milvus,38,captivity,http://www.genomics.senescence.info (AnAge build 12)
mimus polyglottos,20,wild,http://www.genomics.senescence.info (AnAge build 12)
mitu tuberosa,23,captivity,http://www.genomics.senescence.info (AnAge build 12)
mniotilta varia,11.3,wild,http://www.genomics.senescence.info (AnAge build 12)
molothrus ater,16.9,wild,http://www.genomics.senescence.info (AnAge build 12)
momotus mexicanus,10.4,captivity,http://www.genomics.senescence.info (AnAge build 12)
motacilla alba,12.2,wild,http://www.genomics.senescence.info (AnAge build 12)
motacilla cinerea,8,wild,http://www.genomics.senescence.info (AnAge build 12)
motacilla flava,8.8,wild,http://www.genomics.senescence.info (AnAge build 12)
muscicapa striata,11.8,captivity,http://www.genomics.senescence.info (AnAge build 12)
mycteria americana,27,captivity,http://www.genomics.senescence.info (AnAge build 12)
mycteria cinerea,12.4,captivity,http://www.genomics.senescence.info (AnAge build 12)
mycteria ibis,19.1,captivity,http://www.genomics.senescence.info (AnAge build 12)
mycteria leucocephala,28.6,captivity,http://www.genomics.senescence.info (AnAge build 12)
myiarchus cinerascens,11,wild,http://www.genomics.senescence.info (AnAge build 12)
myiarchus crinitus,13.9,wild,http://www.genomics.senescence.info (AnAge build 12)
myiarchus tyrannulus,11,wild,http://www.genomics.senescence.info (AnAge build 12)
myioborus pictus,6.6,wild,http://www.genomics.senescence.info (AnAge build 12)
myiopsitta monachus,22.1,captivity,http://www.genomics.senescence.info (AnAge build 12)
nandayus nenday,18.7,captivity,http://www.genomics.senescence.info (AnAge build 12)
neophema chrysostoma,21,captivity,http://www.genomics.senescence.info (AnAge build 12)
neophema pulchella,21,captivity,http://www.genomics.senescence.info (AnAge build 12)
neophema splendida,14,captivity,http://www.genomics.senescence.info (AnAge build 12)
neophron percnopterus,37,captivity,http://www.genomics.senescence.info (AnAge build 12)
neopsephotus bourkii,12.6,captivity,http://www.genomics.senescence.info (AnAge build 12)
nesospingus speculiferus,4,wild,http://www.genomics.senescence.info (AnAge build 12)
nestor notabilis,47,captivity,http://www.genomics.senescence.info (AnAge build 12)
netta rufina,7.6,wild,http://www.genomics.senescence.info (AnAge build 12)
nipponia nippon,25.8,captivity,http://www.genomics.senescence.info (AnAge build 12)
northiella haematogaster,15.3,captivity,http://www.genomics.senescence.info (AnAge build 12)
nucifraga caryocatactes,16.2,wild,http://www.genomics.senescence.info (AnAge build 12)
nucifraga columbiana,17.4,wild,http://www.genomics.senescence.info (AnAge build 12)
numenius arquata,31.5,wild,http://www.genomics.senescence.info (AnAge build 12)
numenius phaeopus,16.1,wild,http://www.genomics.senescence.info (AnAge build 12)
numenius tahitiensis,23.8,wild,http://www.genomics.senescence.info (AnAge build 12)
nyctea scandiaca,28,captivity,http://www.genomics.senescence.info (AnAge build 12)
nycticorax nycticorax,21.1,wild,http://www.genomics.senescence.info (AnAge build 12)
nymphicus hollandicus,35,captivity,http://www.genomics.senescence.info (AnAge build 12)
oceanodroma leucorhoa,36,wild,http://www.genomics.senescence.info (AnAge build 12)
oenanthe hispanica,4.9,wild,http://www.genomics.senescence.info (AnAge build 12)
oenanthe oenanthe,9.6,unknown,http://www.genomics.senescence.info (AnAge build 12)
oporornis formosus,6.9,wild,http://www.genomics.senescence.info (AnAge build 12)
oporornis philadelphia,7.9,wild,http://www.genomics.senescence.info (AnAge build 12)
oriolus oriolus,14.8,wild,http://www.genomics.senescence.info (AnAge build 12)
oriolus xanthornus,15.5,captivity,http://www.genomics.senescence.info (AnAge build 12)
ortalis vetula,8.8,wild,http://www.genomics.senescence.info (AnAge build 12)
otis tarda,28.3,captivity,http://www.genomics.senescence.info (AnAge build 12)
otus asio,20.7,unknown,http://www.genomics.senescence.info (AnAge build 12)
otus flammeolus,8.1,wild,http://www.genomics.senescence.info (AnAge build 12)
otus kennicottii,19,captivity,http://www.genomics.senescence.info (AnAge build 12)
otus scops,6.8,wild,http://www.genomics.senescence.info (AnAge build 12)
oxyura australis,16,captivity,http://www.genomics.senescence.info (AnAge build 12)
oxyura jamaicensis,13.6,wild,http://www.genomics.senescence.info (AnAge build 12)
pagodroma nivea,20,wild,http://www.genomics.senescence.info (AnAge build 12)
pagophila eburnea,23.9,wild,http://www.genomics.senescence.info (AnAge build 12)
palmeria dolei,9.2,wild,http://www.genomics.senescence.info (AnAge build 12)
pandion haliaetus,32,wild,http://www.genomics.senescence.info (AnAge build 12)
panurus biarmicus,6.4,wild,http://www.genomics.senescence.info (AnAge build 12)
parabuteo unicinctus,25,captivity,http://www.genomics.senescence.info (AnAge build 12)
paradisaea apoda,12.1,captivity,http://www.genomics.senescence.info (AnAge build 12)
parula americana,7,wild,http://www.genomics.senescence.info (AnAge build 12)
parus major,15.4,wild,http://www.genomics.senescence.info (AnAge build 12)
passer domesticus,23,unknown,http://www.genomics.senescence.info (AnAge build 12)
passer hispaniolensis,11.2,wild,http://www.genomics.senescence.info (AnAge build 12)
passer montanus,13.1,wild,http://www.genomics.senescence.info (AnAge build 12)
passerculus sandwichensis,6.8,wild,http://www.genomics.senescence.info (AnAge build 12)
passerella iliaca,10.3,wild,http://www.genomics.senescence.info (AnAge build 12)
passerina amoena,9.9,wild,http://www.genomics.senescence.info (AnAge build 12)
passerina caerulea,10.2,wild,http://www.genomics.senescence.info (AnAge build 12)
passerina ciris,12,unknown,http://www.genomics.senescence.info (AnAge build 12)
passerina cyanea,11,wild,http://www.genomics.senescence.info (AnAge build 12)
pavo cristatus,23.2,captivity,http://www.genomics.senescence.info (AnAge build 12)
pelecanus crispus,35.3,captivity,http://www.genomics.senescence.info (AnAge build 12)
pelecanus erythrorhynchos,54,wild,http://www.genomics.senescence.info (AnAge build 12)
pelecanus occidentalis,43,unknown,http://www.genomics.senescence.info (AnAge build 12)
pelecanus onocrotalus,51,captivity,http://www.genomics.senescence.info (AnAge build 12)
perdix perdix,5.2,wild,http://www.genomics.senescence.info (AnAge build 12)
periparus ater,9.5,wild,http://www.genomics.senescence.info (AnAge build 12)
perisoreus canadensis,19.2,wild,http://www.genomics.senescence.info (AnAge build 12)
perisoreus infaustus,17.9,wild,http://www.genomics.senescence.info (AnAge build 12)
pernis apivorus,29,wild,http://www.genomics.senescence.info (AnAge build 12)
petrochelidon fulva,9.3,wild,http://www.genomics.senescence.info (AnAge build 12)
petrochelidon pyrrhonota,11.8,wild,http://www.genomics.senescence.info (AnAge build 12)
phaethon aethereus,17.6,wild,http://www.genomics.senescence.info (AnAge build 12)
phaethon rubricauda,32.7,wild,http://www.genomics.senescence.info (AnAge build 12)
phalacrocorax aristotelis,30.6,wild,http://www.genomics.senescence.info (AnAge build 12)
phalacrocorax auritus,19.5,wild,http://www.genomics.senescence.info (AnAge build 12)
phalacrocorax carbo,23.5,wild,http://www.genomics.senescence.info (AnAge build 12)
phalacrocorax olivaceus,12.6,wild,http://www.genomics.senescence.info (AnAge build 12)
phalacrocorax pelagicus,17.8,wild,http://www.genomics.senescence.info (AnAge build 12)
phalacrocorax penicillatus,18,wild,http://www.genomics.senescence.info (AnAge build 12)
phalaropus lobatus,9.9,wild,http://www.genomics.senescence.info (AnAge build 12)
phasianus colchicus,27,captivity,http://www.genomics.senescence.info (AnAge build 12)
pheucticus ludovicianus,24,unknown,http://www.genomics.senescence.info (AnAge build 12)
pheucticus melanocephalus,25,captivity,http://www.genomics.senescence.info (AnAge build 12)
philomachus pugnax,13.9,wild,http://www.genomics.senescence.info (AnAge build 12)
phimosus infuscatus,20,captivity,http://www.genomics.senescence.info (AnAge build 12)
phoenicopterus chilensis,36.7,captivity,http://www.genomics.senescence.info (AnAge build 12)
phoenicopterus ruber,44,captivity,http://www.genomics.senescence.info (AnAge build 12)
phoenicurus ochruros,10.2,wild,http://www.genomics.senescence.info (AnAge build 12)
phoenicurus phoenicurus,10.2,wild,http://www.genomics.senescence.info (AnAge build 12)
phylloscopus collybita,7.8,wild,http://www.genomics.senescence.info (AnAge build 12)
phylloscopus sibilatrix,10.2,wild,http://www.genomics.senescence.info (AnAge build 12)
phylloscopus trochilus,11.8,wild,http://www.genomics.senescence.info (AnAge build 12)
pica hudsonia,20,captivity,http://www.genomics.senescence.info (AnAge build 12)
pica nuttalli,10,wild,http://www.genomics.senescence.info (AnAge build 12)
pica pica,21.7,wild,http://www.genomics.senescence.info (AnAge build 12)
picoides borealis,16.1,wild,http://www.genomics.senescence.info (AnAge build 12)
picoides pubescens,11.9,wild,http://www.genomics.senescence.info (AnAge build 12)
picoides villosus,15.9,wild,http://www.genomics.senescence.info (AnAge build 12)
picus viridis,15.2,wild,http://www.genomics.senescence.info (AnAge build 12)
pinicola enucleator,9.8,wild,http://www.genomics.senescence.info (AnAge build 12)
pionites leucogaster,26,captivity,http://www.genomics.senescence.info (AnAge build 12)
pionites melanocephala,22.6,captivity,http://www.genomics.senescence.info (AnAge build 12)
pionopsitta pileata,16.8,captivity,http://www.genomics.senescence.info (AnAge build 12)
pionus maximiliani,16.2,captivity,http://www.genomics.senescence.info (AnAge build 12)
pionus menstruus,20.6,captivity,http://www.genomics.senescence.info (AnAge build 12)
pipilo aberti,8.6,wild,http://www.genomics.senescence.info (AnAge build 12)
pipilo chlorurus,7.7,wild,http://www.genomics.senescence.info (AnAge build 12)
pipilo crissalis,12.8,wild,http://www.genomics.senescence.info (AnAge build 12)
pipilo erythrophthalmus,12.3,wild,http://www.genomics.senescence.info (AnAge build 12)
pipilo fuscus,12.8,wild,http://www.genomics.senescence.info (AnAge build 12)
pipilo maculatus,10.7,wild,http://www.genomics.senescence.info (AnAge build 12)
piranga ludoviciana,15.3,unknown,http://www.genomics.senescence.info (AnAge build 12)
piranga olivacea,10.5,unknown,http://www.genomics.senescence.info (AnAge build 12)
piranga rubra,7.9,wild,http://www.genomics.senescence.info (AnAge build 12)
pithecophaga jefferyi,41,captivity,http://www.genomics.senescence.info (AnAge build 12)
platalea ajaja,28,unknown,http://www.genomics.senescence.info (AnAge build 12)
platalea alba,17.9,captivity,http://www.genomics.senescence.info (AnAge build 12)
platalea flavipes,28.6,captivity,http://www.genomics.senescence.info (AnAge build 12)
platalea leucorodia,30.1,captivity,http://www.genomics.senescence.info (AnAge build 12)
platalea minor,15,captivity,http://www.genomics.senescence.info (AnAge build 12)
platycercus elegans,26.8,captivity,http://www.genomics.senescence.info (AnAge build 12)
platycercus eximius,27.4,captivity,http://www.genomics.senescence.info (AnAge build 12)
platycercus icterotis,13.2,captivity,http://www.genomics.senescence.info (AnAge build 12)
platycercus venustus,19.1,captivity,http://www.genomics.senescence.info (AnAge build 12)
plectrophenax hyperboreus,4.8,wild,http://www.genomics.senescence.info (AnAge build 12)
plectrophenax nivalis,9.6,wild,http://www.genomics.senescence.info (AnAge build 12)
plectropterus gambensis,11.3,captivity,http://www.genomics.senescence.info (AnAge build 12)
plegadis chihi,20.4,captivity,http://www.genomics.senescence.info (AnAge build 12)
plegadis falcinellus,26.8,captivity,http://www.genomics.senescence.info (AnAge build 12)
plegadis ridgwayi,18,captivity,http://www.genomics.senescence.info (AnAge build 12)
pluvialis apricaria,12.8,wild,http://www.genomics.senescence.info (AnAge build 12)
pluvialis squatarola,23.5,wild,http://www.genomics.senescence.info (AnAge build 12)
podiceps cristatus,19.2,wild,http://www.genomics.senescence.info (AnAge build 12)
podiceps nigricollis,12,wild,http://www.genomics.senescence.info (AnAge build 12)
poecile atricapillus,12.4,wild,http://www.genomics.senescence.info (AnAge build 12)
poecile carolinensis,10.9,wild,http://www.genomics.senescence.info (AnAge build 12)
poecile cinctus,9,wild,http://www.genomics.senescence.info (AnAge build 12)
poecile gambeli,10.1,wild,http://www.genomics.senescence.info (AnAge build 12)
poecile hudsonicus,7,wild,http://www.genomics.senescence.info (AnAge build 12)
poecile montanus,11.3,wild,http://www.genomics.senescence.info (AnAge build 12)
poecile palustris,11.9,wild,http://www.genomics.senescence.info (AnAge build 12)
poecile rufescens,9.5,wild,http://www.genomics.senescence.info (AnAge build 12)
poecile sclateri,10.1,wild,http://www.genomics.senescence.info (AnAge build 12)
poicephalus cryptoxanthus,32.1,captivity,http://www.genomics.senescence.info (AnAge build 12)
poicephalus gulielmi,21,captivity,http://www.genomics.senescence.info (AnAge build 12)
poicephalus meyeri,34.2,captivity,http://www.genomics.senescence.info (AnAge build 12)
poicephalus robustus,29.7,captivity,http://www.genomics.senescence.info (AnAge build 12)
poicephalus rueppellii,34.3,captivity,http://www.genomics.senescence.info (AnAge build 12)
poicephalus rufiventris,33.4,captivity,http://www.genomics.senescence.info (AnAge build 12)
poicephalus senegalus,40,captivity,http://www.genomics.senescence.info (AnAge build 12)
polioptila caerulea,4.2,wild,http://www.genomics.senescence.info (AnAge build 12)
polioptila californica,8,wild,http://www.genomics.senescence.info (AnAge build 12)
polyplectron emphanum,15,unknown,http://www.genomics.senescence.info (AnAge build 12)
polysticta stelleri,23,wild,http://www.genomics.senescence.info (AnAge build 12)
polytelis alexandrae,23.9,captivity,http://www.genomics.senescence.info (AnAge build 12)
polytelis anthopeplus,13.8,captivity,http://www.genomics.senescence.info (AnAge build 12)
polytelis swainsonii,15.1,captivity,http://www.genomics.senescence.info (AnAge build 12)
pooecetes gramineus,7.9,wild,http://www.genomics.senescence.info (AnAge build 12)
probosciger aterrimus,56.3,captivity,http://www.genomics.senescence.info (AnAge build 12)
procellaria parkinsoni,17,wild,http://www.genomics.senescence.info (AnAge build 12)
procelsterna cerulea,14,wild,http://www.genomics.senescence.info (AnAge build 12)
progne subis,13.8,wild,http://www.genomics.senescence.info (AnAge build 12)
propyrrhura maracana,31,captivity,http://www.genomics.senescence.info (AnAge build 12)
prosopeia personata,11.8,captivity,http://www.genomics.senescence.info (AnAge build 12)
prosopeia splendens,20.1,captivity,http://www.genomics.senescence.info (AnAge build 12)
protonotaria citrea,8.1,wild,http://www.genomics.senescence.info (AnAge build 12)
prunella modularis,11.7,wild,http://www.genomics.senescence.info (AnAge build 12)
psaltriparus minimus,8.4,wild,http://www.genomics.senescence.info (AnAge build 12)
psephotus dissimilis,18,captivity,http://www.genomics.senescence.info (AnAge build 12)
psephotus haematonotus,12.2,captivity,http://www.genomics.senescence.info (AnAge build 12)
psephotus varius,11.8,captivity,http://www.genomics.senescence.info (AnAge build 12)
pseudeos fuscata,13.4,captivity,http://www.genomics.senescence.info (AnAge build 12)
pseudibis papillosa,30,captivity,http://www.genomics.senescence.info (AnAge build 12)
psilopsiagon aymara,8.5,captivity,http://www.genomics.senescence.info (AnAge build 12)
psittacula alexandri,23.3,captivity,http://www.genomics.senescence.info (AnAge build 12)
psittacula calthropae,14,captivity,http://www.genomics.senescence.info (AnAge build 12)
psittacula cyanocephala,18.8,captivity,http://www.genomics.senescence.info (AnAge build 12)
psittacula eupatria,30,captivity,http://www.genomics.senescence.info (AnAge build 12)
psittacula krameri,34,captivity,http://www.genomics.senescence.info (AnAge build 12)
psittaculirostris desmarestii,14.9,captivity,http://www.genomics.senescence.info (AnAge build 12)
psittaculirostris edwardsii,12,captivity,http://www.genomics.senescence.info (AnAge build 12)
psittaculirostris salvadorii,12,captivity,http://www.genomics.senescence.info (AnAge build 12)
psittacus erithacus,49.7,captivity,http://www.genomics.senescence.info (AnAge build 12)
psitteuteles iris,24.1,captivity,http://www.genomics.senescence.info (AnAge build 12)
psittinus cyanurus,10.2,captivity,http://www.genomics.senescence.info (AnAge build 12)
psittrichas fulgidus,25,captivity,http://www.genomics.senescence.info (AnAge build 12)
pterodroma alba,11.3,wild,http://www.genomics.senescence.info (AnAge build 12)
pterodroma hypoleuca,19,wild,http://www.genomics.senescence.info (AnAge build 12)
pterodroma leucoptera,20,wild,http://www.genomics.senescence.info (AnAge build 12)
puffinus pacificus,29,wild,http://www.genomics.senescence.info (AnAge build 12)
puffinus puffinus,49.7,wild,http://www.genomics.senescence.info (AnAge build 12)
puffinus tenuirostris,30,wild,http://www.genomics.senescence.info (AnAge build 12)
pulsatrix perspicillata,25,captivity,http://www.genomics.senescence.info (AnAge build 12)
purpureicephalus spurius,15.3,captivity,http://www.genomics.senescence.info (AnAge build 12)
pycnonotus jocosus,11.1,wild,http://www.genomics.senescence.info (AnAge build 12)
pycnonotus xanthopygos,8.8,wild,http://www.genomics.senescence.info (AnAge build 12)
pyrocephalus rubinus,5.5,wild,http://www.genomics.senescence.info (AnAge build 12)
pyrrhocorax graculus,24.4,wild,http://www.genomics.senescence.info (AnAge build 12)
pyrrhocorax pyrrhocorax,20.3,captivity,http://www.genomics.senescence.info (AnAge build 12)
pyrrhula pyrrhula,17.5,wild,http://www.genomics.senescence.info (AnAge build 12)
pyrrhura leucotis,18.5,captivity,http://www.genomics.senescence.info (AnAge build 12)
pyrrhura perlata,14.3,captivity,http://www.genomics.senescence.info (AnAge build 12)
quiscalus major,12.9,wild,http://www.genomics.senescence.info (AnAge build 12)
quiscalus mexicanus,12.5,wild,http://www.genomics.senescence.info (AnAge build 12)
quiscalus quiscula,22.9,wild,http://www.genomics.senescence.info (AnAge build 12)
rallus aquaticus,8.8,wild,http://www.genomics.senescence.info (AnAge build 12)
rallus longirostris,7.5,wild,http://www.genomics.senescence.info (AnAge build 12)
recurvirostra avosetta,27.8,wild,http://www.genomics.senescence.info (AnAge build 12)
regulus calendula,5.6,wild,http://www.genomics.senescence.info (AnAge build 12)
regulus regulus,7,wild,http://www.genomics.senescence.info (AnAge build 12)
regulus satrapa,5.3,wild,http://www.genomics.senescence.info (AnAge build 12)
remiz pendulinus,6.7,wild,http://www.genomics.senescence.info (AnAge build 12)
rhynchopsitta pachyrhyncha,33,captivity,http://www.genomics.senescence.info (AnAge build 12)
riparia riparia,10,wild,http://www.genomics.senescence.info (AnAge build 12)
rissa tridactyla,28.5,wild,http://www.genomics.senescence.info (AnAge build 12)
rostrhamus sociabilis,17,wild,http://www.genomics.senescence.info (AnAge build 12)
rupicola rupicola,7,captivity,http://www.genomics.senescence.info (AnAge build 12)
rynchops niger,20,wild,http://www.genomics.senescence.info (AnAge build 12)
sarcoramphus papa,40,captivity,http://www.genomics.senescence.info (AnAge build 12)
saxicola rubetra,5.2,wild,http://www.genomics.senescence.info (AnAge build 12)
saxicola torquatus,8.8,wild,http://www.genomics.senescence.info (AnAge build 12)
sayornis nigricans,8,wild,http://www.genomics.senescence.info (AnAge build 12)
sayornis phoebe,10.3,unknown,http://www.genomics.senescence.info (AnAge build 12)
scardafella inca,13.3,captivity,http://www.genomics.senescence.info (AnAge build 12)
scolopax minor,20.9,wild,http://www.genomics.senescence.info (AnAge build 12)
scolopax rusticola,15.5,wild,http://www.genomics.senescence.info (AnAge build 12)
seiurus aurocapillus,11,wild,http://www.genomics.senescence.info (AnAge build 12)
seiurus motacilla,11.9,wild,http://www.genomics.senescence.info (AnAge build 12)
seiurus noveboracensis,8.9,wild,http://www.genomics.senescence.info (AnAge build 12)
selasphorus platycercus,14,unknown,http://www.genomics.senescence.info (AnAge build 12)
selasphorus rufus,8.9,wild,http://www.genomics.senescence.info (AnAge build 12)
serinus canaria,24,captivity,http://www.genomics.senescence.info (AnAge build 12)
setophaga ruticilla,10.1,wild,http://www.genomics.senescence.info (AnAge build 12)
sialia currucoides,9,wild,http://www.genomics.senescence.info (AnAge build 12)
sialia mexicana,6.1,wild,http://www.genomics.senescence.info (AnAge build 12)
sialia sialis,10.4,wild,http://www.genomics.senescence.info (AnAge build 12)
sitta canadensis,7.5,wild,http://www.genomics.senescence.info (AnAge build 12)
sitta carolinensis,9.8,wild,http://www.genomics.senescence.info (AnAge build 12)
sitta europaea,12.9,wild,http://www.genomics.senescence.info (AnAge build 12)
sitta pusilla,5.8,wild,http://www.genomics.senescence.info (AnAge build 12)
sitta pygmaea,8.2,wild,http://www.genomics.senescence.info (AnAge build 12)
somateria mollissima,37.8,wild,http://www.genomics.senescence.info (AnAge build 12)
somateria spectabilis,18.9,wild,http://www.genomics.senescence.info (AnAge build 12)
sphecotheres viridis,18,captivity,http://www.genomics.senescence.info (AnAge build 12)
spheniscus magellanicus,30,wild,http://www.genomics.senescence.info (AnAge build 12)
sphyrapicus varius,6.8,wild,http://www.genomics.senescence.info (AnAge build 12)
spiza americana,4,wild,http://www.genomics.senescence.info (AnAge build 12)
spizella arborea,10.8,wild,http://www.genomics.senescence.info (AnAge build 12)
spizella breweri,6.2,wild,http://www.genomics.senescence.info (AnAge build 12)
spizella pallida,6.9,wild,http://www.genomics.senescence.info (AnAge build 12)
spizella passerina,11.8,wild,http://www.genomics.senescence.info (AnAge build 12)
spizella pusilla,9.2,wild,http://www.genomics.senescence.info (AnAge build 12)
sporophila torqueola,11.7,wild,http://www.genomics.senescence.info (AnAge build 12)
steganopus tricolor,10,wild,http://www.genomics.senescence.info (AnAge build 12)
stelgidopteryx ruficollis,5.9,wild,http://www.genomics.senescence.info (AnAge build 12)
stellula calliope,6.1,wild,http://www.genomics.senescence.info (AnAge build 12)
stercorarius longicaudus,14,wild,http://www.genomics.senescence.info (AnAge build 12)
stercorarius parasiticus,31.1,wild,http://www.genomics.senescence.info (AnAge build 12)
sterna albifrons,23.9,wild,http://www.genomics.senescence.info (AnAge build 12)
sterna antillarum,24.1,wild,http://www.genomics.senescence.info (AnAge build 12)
sterna dougallii,25.7,wild,http://www.genomics.senescence.info (AnAge build 12)
sterna forsteri,12,wild,http://www.genomics.senescence.info (AnAge build 12)
sterna fuscata,35.8,wild,http://www.genomics.senescence.info (AnAge build 12)
sterna hirundo,33,wild,http://www.genomics.senescence.info (AnAge build 12)
sterna lunata,25.8,wild,http://www.genomics.senescence.info (AnAge build 12)
sterna paradisaea,34,wild,http://www.genomics.senescence.info (AnAge build 12)
streptopelia chinensis,9.8,wild,http://www.genomics.senescence.info (AnAge build 12)
streptopelia decaocto,17.9,captivity,http://www.genomics.senescence.info (AnAge build 12)
